,WeekLow,RecentPrice,WeekHigh,Beta,DailyVolume3,DailyVolume10,WeekChange,WeekChangeWSP,MarketCapitalization,SharesOutstanding,FL,AnnualDividend,DividendYield,BookValue,Earningsttm,Earnings,Salesttm,Sales,Cash,PriceBook,PriceEarnings,PriceSales,EBITDA,Income,ProfitMargin,OperatingMargin,ReturnAssets,CurrentRatio,DebtEquity,TotalCash,SharesShortPD,SharesShort,PercentofFloat,ShortRatio,LastSplit,SharesADR,TermDebtEquityLong,ReturnEquity,DailyVolume,Company
0,25.875,33.17,45.71,1.17,3420000.0,2880000.0,559.0,156.0,28200000000.0,84930000.0,73890000.0,60.0,181.0,12.67,1.65,0.39,28.05,24400000000.0,0.57,2.62,2007.0,118.0,42500000000.0,14400000000.0,71.0,104.0,576.0,1.5,59.0,48400000.0,9960000.0,9510000.0,13.0,3.3,0.0,0.0,0.0,1307.0,3020000.0,AA
1,7.25,9.3,14.0,0.63,1750000.0,1300000.0,14.0,-248.0,9350000.0,1010000.0,4500000.0,0.0,0.0,5.56,0.11,0.2,20.52,20840000.0,13.08,1.67,8158.0,45.0,2650000.0,1210000.0,6.0,10.0,44.0,1.0,25.0,13160000.0,3000.0,1200000.0,1.0,0.09,0.0,0.0,0.0,219.0,3500000.0,AACE
2,6.5,17.21,23.22,1.02,2350000.0,9000.0,1772.0,1055.0,30850000.0,1790000.0,4300000.0,0.0,0.0,3.8,-0.0,0.06,6.26,11130000.0,0.11,4.53,0.0,275.0,9770000.0,-3600000.0,0.0,23.0,-3.0,1.44,23.0,1990000.0,8100000.0,6000000.0,19.0,5.4,0.0,0.0,0.0,-5.0,1500000.0,AAII
3,13.625,16.2,27.12,1.31,5650000.0,6490000.0,-17.0,-255.0,56800000000.0,35080000.0,31220000.0,0.0,0.0,11.01,0.15,0.17,16.43,57800000000.0,12.04,1.47,10658.0,99.0,-22300000.0,6700000.0,12.0,-54.0,105.0,3.25,8.0,42200000000.0,6640000.0,6300000.0,21.0,1.44,0.0,0.0,0.0,173.0,4610000.0,AAPL
4,0.5,2.92,5.109,-1.39,2010000.0,10900000.0,45.0,-208.0,1320000.0,4530000.0,3400000.0,0.0,0.0,1.02,-0.51,-0.14,0.98,4550000.0,0.05,2.87,0.0,298.0,-1350000.0,-2330000.0,-508.0,-344.0,-3809.0,4.15,5.0,21800000.0,1000.0,1000.0,0.0,0.25,0.0,0.0,0.0,-4236.0,4000.0,AATK
5,9.46,12.55,18.25,0.98,18320000.0,19700000.0,232.0,-66.0,29400000000.0,23400000000.0,16200000000.0,0.0,0.0,9.8,2.21,1.74,10.08,15800000000.0,0.59,1.28,567.0,125.0,43200000000.0,34300000000.0,270.0,209.0,1429.0,1.45,17.0,96400000.0,28600000.0,33300000.0,0.0,1.67,0.0,1.0,0.0,2162.0,17100000.0,AAUK
6,8.0,13.0,13.5,0.3,8364.0,4000.0,806.0,368.0,11380000.0,8760000.0,7800000.0,48.0,369.0,10.16,1.15,0.25,8.49,7210000.0,5.82,1.28,1129.0,153.0,0.0,9740000.0,135.0,0.0,117.0,0.0,0.0,5100000.0,0.0,3000.0,0.0,0.0,0.0,0.0,0.0,1200.0,9000.0,ABCB
7,12.875,16.25,18.51,0.53,7470000.0,2600000.0,418.0,74.0,36750000.0,2260000.0,1790000.0,33.0,203.0,9.92,1.22,0.35,10.08,23090000.0,2.76,1.64,1334.0,161.0,0.0,2790000.0,121.0,347.0,90.0,0.0,0.0,6280000.0,44700000.0,29400000.0,25.0,3.13,0.0,0.0,0.0,1287.0,14300000.0,ABCW
8,7.0,9.16,14.2,1.54,39140000.0,37200000.0,307.0,-10.0,44060000.0,4810000.0,3700000.0,16.0,175.0,17.39,-0.85,-0.13,68.36,32900000000.0,0.55,0.53,0.0,13.0,17230000.0,-4070000.0,-12.0,-12.0,-235.0,0.91,28.0,2650000.0,95200000.0,1170000.0,26.0,2.44,0.0,0.0,0.0,-473.0,39100000.0,ABF
9,4.813,17.05,21.7,0.57,2900000.0,5700000.0,3091.0,2100.0,4390000.0,2580000.0,1100000.0,32.0,188.0,24.78,2.47,0.45,57.75,18330000.0,33.75,0.69,691.0,29.0,10020000.0,7860000.0,43.0,72.0,119.0,0.0,881.0,9110000.0,44500000.0,41400000.0,405.0,27.81,0.0,0.0,0.0,1187.0,1600000.0,ABFI
10,12.125,20.85,28.25,0.92,28680000.0,13200000.0,965.0,489.0,43040000.0,2060000.0,1510000.0,0.0,0.0,15.26,2.65,0.4,71.04,17300000000.0,0.18,1.37,788.0,29.0,11870000.0,6020000.0,37.0,69.0,815.0,0.81,51.0,3710000.0,54000000.0,1410000.0,36.0,3.1,0.0,0.0,0.0,2109.0,17400000.0,ABFS
11,15.312999999999999,25.15,94.875,2.43,1510000.0,1660000.0,-547.0,-657.0,21700000000.0,8620000.0,6460000.0,0.0,0.0,9.79,-0.29,-0.17,0.81,7140000.0,6.68,2.57,0.0,3085.0,-1890000.0,-2540000.0,-356.0,-356.0,-317.0,24.32,0.0,57540000.0,2630000.0,1800000.0,41.0,1.83,0.0,0.0,0.0,-335.0,1440000.0,ABGX
12,18.5,24.99,133.313,1.59,1190000.0,1010000.0,-687.0,-763.0,52900000000.0,21160000.0,21130000.0,17.0,68.0,4.92,0.96,0.22,7.34,16200000000.0,1.86,5.08,2598.0,340.0,34670000.0,21240000.0,131.0,173.0,1263.0,2.0,4.0,39250000.0,2190000.0,2350000.0,10.0,1.98,0.0,0.0,0.0,2142.0,1100000.0,ABI
13,0.76,0.95,10.125,3.2,28500000.0,46600000.0,-862.0,-895.0,12780000.0,13450000.0,2760000.0,0.0,0.0,1.92,-4.95,-0.61,4.86,42970000.0,0.02,0.49,0.0,20.0,-9600000.0,-39830000.0,-840.0,-550.0,-1952.0,0.82,521.0,2150000.0,2130000.0,1790000.0,77.0,3.72,0.0,0.0,0.0,-24259.0,57200000.0,ABIZ
14,42.2,53.77,64.0,0.67,55220000.0,67900000.0,457.0,104.0,56900000000.0,10590000.0,7520000.0,36.0,67.0,26.35,3.63,0.99,6.13,66510000.0,0.33,2.04,1483.0,877.0,0.0,39350000.0,592.0,845.0,378.0,0.0,15.0,3520000.0,1070000.0,52400000.0,14.0,2.19,0.0,0.0,0.0,1547.0,48900000.0,ABK
15,1.625,4.05,6.75,0.83,3045.0,3000.0,425.0,80.0,8100000.0,2000000.0,1000000.0,0.0,0.0,2.38,-0.67,-0.45,16.49,3400000.0,0.5,1.7,0.0,25.0,-78900000.0,-1370000.0,-40.0,-53.0,-1123.0,0.78,67.0,99900000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,-2449.0,2000.0,ABLE
16,24.96,26.07,38.2,0.41,6760000.0,14800000.0,298.0,-16.0,63350000.0,2430000.0,1600000.0,66.0,253.0,14.84,1.93,0.52,78.12,19300000000.0,0.1,1.76,1352.0,33.0,9380000.0,4770000.0,25.0,40.0,751.0,2.0,3.0,2390000.0,21900000.0,23100000.0,14.0,4.06,0.0,0.0,0.0,1448.0,5400000.0,ABM
17,0.25,0.86,1.5,0.18,2800000.0,3700000.0,-18.0,-256.0,1760000.0,2050000.0,1270000.0,0.0,0.0,0.06,-0.1,-0.01,0.38,6880000.0,0.01,13.93,0.0,225.0,-2350000.0,-1820000.0,-264.0,-334.0,-4333.0,1.2,3.0,21500000.0,1000.0,2000.0,0.0,0.03,0.0,0.0,0.0,-8852.0,3700000.0,ABMC
