A,29.40,37.07
AA,8.90,10.76
AA.V,0.15,0.215
AAA.V,1.27,1.27
AAALF.PK,17.05,17.85
AAC.V,0.07,0.07
AACC,3.11,3.04
AADR,25.78,29.62
AAG.V,0.395,0.235
AAIAF.PK,34.2874,34.2874
AAIIQ.PK,0.01,0.02
AAIR.OB,1.01,1.20
AAM.V,0.55,0.90
AAME,1.88,1.83
AAN,24.37,26.76
AAN.V,0.04,0.07
AAON,15.13,21.17
AAP,56.30,65.07
AAPH.OB,0.27,0.28
AAPL,374.60,404.78
AAPT.PK,0.0049,0.0055
AAR,13.24,13.77
AAT,16.96,20.27
AATI,4.21,4.36
AAU,2.40,2.77
AAU.V,0.095,0.105
AAUKF.PK,36.70,39.93
AAWW,30.90,38.52
AAX.V,0.045,0.05
AAXJ,45.36,53.56
AB,13.14,14.17
ABA.V,0.12,0.095
ABAT,0.99,0.9505
ABAX,22.15,28.06
ABB,16.42,18.81
ABB.V,0.035,0.025
ABBC,0.00,0.00
ABC,35.74,40.80
ABCB,8.55,10.03
ABCD,2.87,3.30
ABCFF.PK,0.158,0.1655
ABCO,58.73,61.25
ABCP.OB,1.08,1.27
ABCW,0.53,0.5101
ABD,4.46,6.87
ABE.V,0.045,0.06
ABG,15.52,18.65
ABGFF.PK,0.428,0.619
ABGOF.PK,20.50,24.10
ABGSF.PK,0.67,0.74
ABH,14.06,17.00
ABHD.OB,0.37,0.55
ABI,13.19,13.74
ABI.V,0.075,0.09
ABIO,1.07,1.14
ABIX.PK,10.00,12.00
ABKI.PK,1.24,1.18
ABL.V,0.84,0.70
ABLE.PK,0.07,0.09
ABM,17.85,20.22
ABMBF.PK,0.082,0.08
ABMD,10.09,15.06
ABN.V,0.08,0.115
ABNAF.PK,0.0799,0.107
ABPI.PK,0.45,0.36
ABR,3.51,3.61
ABR.V,0.035,0.105
ABS.V,0.36,0.43
ABT,50.15,53.87
ABTL,0.80,0.90
ABV,29.92,33.72
ABV.V,0.25,0.275
ABVA,4.91,5.40
ABVT,51.63,59.35
ABX,46.21,49.50
ABZ.V,0.30,0.26
ACAD,0.92,1.23
ACAR.OB,0.50,0.48
ACAS,6.36,7.77
ACAT,13.99,20.31
ACC,36.15,38.93
ACCELSAB.MX,7.800,7.780
ACCKF.PK,7.2135,7.2135
ACCL,5.79,6.63
ACCM.OB,0.25,0.12
ACCP.OB,1.90,1.77
ACDSF.PK,1.48,1.59
ACE,59.11,72.15
ACEL.PK,0.065,0.062
ACET,5.17,6.34
ACFC,2.01,1.38
ACFL.PK,3.25,3.25
ACFN,5.30,4.88
ACG,8.00,7.99
ACG.V,0.15,0.10
ACGL,31.93,35.97
ACH,10.65,13.29
ACHN,4.01,6.32
ACI,13.22,18.22
ACIW,25.26,30.67
ACK,11.38,11.38
ACK.V,0.155,0.15
ACL.V,0.17,0.18
ACLLF.PK,63.09,63.09
ACM,16.84,20.92
ACMC.OB,3.50,3.75
ACME.PK,0.69,0.80
ACMR,0.95,1.58
ACMUY.PK,5.21,4.39
ACN,51.62,60.26
ACNB,13.69,14.25
ACO,22.15,30.19
ACOM,21.98,22.77
ACOR,18.71,21.84
ACP,15.66,16.54
ACP.V,0.14,0.20
ACPIQ.PK,0.003,0.0026
ACPW,1.15,0.9115
ACRB.OB,0.64,0.74
ACRFY.PK,5.09,6.50
ACRI.OB,0.0072,0.0055
ACRX,3.23,2.96
ACT.V,0.07,0.095
ACTC.OB,0.133,0.112
ACTG,32.78,39.84
ACTINVRB.MX,10.600,10.430
ACTS,2.02,2.10
ACU,9.55,9.38
ACUR,3.67,4.44
ACUS.PK,0.0719,0.10
ACUZW.OB,0.01,0.005
ACW,4.53,6.32
ACWI,38.00,43.55
ACWX,34.05,38.98
ACXIF.PK,82.71,100.78
ACXM,9.51,13.19
ACY,7.11,5.85
ADAT,0.82,0.68
ADB.V,0.17,0.11
ADBE,23.26,29.41
ADC,21.15,23.91
ADD.V,0.155,0.16
ADDDF.PK,60.92,72.01
ADDYY.PK,28.85,35.23
ADE.V,0.115,0.14
ADEP,3.21,3.32
