A,35.29,37.50
AA,10.40,10.02
AA.V,0.22,0.155
AAA.V,1.27,0.00
AAC,9.80,9.82
AACC,3.43,3.52
AACS.PK,0.0007,0.001
AADG.OB,0.026,0.026
AADR,28.2143,27.23
AAG.V,0.255,0.34
AAIAF.PK,34.2874,31.2728
AAIIQ.PK,0.01,0.01
AAIR.OB,1.30,0.90
AAM.V,0.85,1.16
AAME,1.80,1.99
AAMTF.PK,0.076,0.076
AAN,25.73,26.28
AAN.V,0.065,0.07
AAON,19.91,21.91
AAP,64.82,69.22
AAPH.OB,0.27,0.265
AAPL,396.51,382.20
AAR,13.44,3.985
AASL.PK,0.13,0.20
AAT,19.11,20.64
AAT.V,0.105,0.07
AATI,4.22,5.745
AAU,2.67,2.72
AAUKF.PK,39.93,34.90
AAWW,37.11,42.25
AAX.V,0.055,0.04
AAXJ,52.80,52.47
AB,13.58,13.41
ABAT,0.9302,0
ABAT.PK,0,0.41
ABAX,27.37,27.67
ABB,18.10,18.97
ABB.V,0.02,0.02
ABC,40.04,37.15
ABCB,9.93,10.00
ABCD,3.21,3.20
ABCO,60.71,72.38
ABCP.OB,1.24,1.35
ABCW,0.50,0
ABCW.PK,0,0.375
ABD,6.49,9.43
ABE.V,0.06,0.055
ABFS,19.47,19.12
ABG,18.33,19.72
ABGFF.PK,0.614,0.516
ABGOF.PK,24.10,22.55
ABH,16.30,15.03
ABHD.OB,0.54,0.48
ABI,13.74,13.81
ABI.V,0.08,0.085
ABIO,1.12,1.38
ABKI.PK,1.18,0.95
ABL,5.15,4.71
ABL.V,0.62,0.53
ABLZF.PK,17.9075,18.77
ABM,19.05,21.73
ABM.V,0.39,0.355
ABMBF.PK,0.08,0.073
ABMC.PK,0.12,0.13
ABMD,14.33,20.14
ABN.V,0.10,0.09
ABNAF.PK,0.107,0.107
ABPI.PK,0.355,0.32
ABPR.PK,0.0038,0.0013
ABR,3.54,3.45
ABR.V,0.115,0.045
ABS.V,0.405,0.33
ABT,52.76,54.55
ABTO.OB,0.49,0.60
ABV,33.65,34.38
ABV.V,0.30,0.24
ABVA,5.15,3.77
ABVT,55.59,59.74
ABX,49.32,52.88
ACAD,1.17,0.98
ACAR.OB,0.41,0.50
ACAS,7.42,6.97
ACAT,20.38,19.88
ACBC.OB,0.37,0.35
ACC,37.89,39.34
ACCELSAB.MX,7.780,7.800
ACCL,6.47,7.13
ACCP.OB,1.71,1.33
ACE,69.42,69.53
ACEL.PK,0.062,0.078
ACET,5.89,6.85
ACFC,1.4099,1.01
ACFL.PK,3.25,3.25
ACFN,4.844,5.41
ACG,7.98,8.13
ACG.V,0.12,0.06
ACGI.PK,0.0015,0.0015
ACGL,34.90,37.77
ACH,12.89,12.24
ACHN,6.05,6.65
ACI,17.07,16.39
ACIW,30.27,30.08
ACK.V,0.15,0.155
ACLLF.PK,63.09,63.09
ACLS,1.31,1.27
ACM,20.39,21.45
ACME.PK,0.80,0.77
ACMR,1.59,0.00
ACMUY.PK,4.42,3.94
ACN,57.46,57.93
ACNB,14.25,13.5745
ACO,29.27,33.13
ACOM,22.52,23.71
ACOR,20.81,23.15
ACP,16.40,15.14
ACP.V,0.16,0.12
ACPIQ.PK,0.003,0.0047
ACPW,0.9102,0.70
ACRFY.PK,5.91,5.57
ACRI.OB,0.0055,0.0031
ACRX,2.96,2.9865
ACT.V,0.09,0.11
ACTC.OB,0.1075,0.1034
ACTG,38.46,34.82
ACTINVRB.MX,10.450,10.600
ACTN.OB,0.18,0.55
ACTS,2.05,1.88
ACU,9.30,9.58
ACUR,4.15,3.70
ACUS.PK,0.09,0.076
ACUZW.OB,0.005,0.002
ACW,6.22,6.11
ACWI,42.23,43.05
ACWX,37.66,38.14
ACXIF.PK,90.085,88.92
ACXM,12.41,12.44
ACY,5.653,6.91
ADAC.OB,0.00,0.21
ADAT,0.717,0.79
ADBE,28.59,27.42
ADC,23.78,24.39
ADD.V,0.155,0.175
ADDYY.PK,34.01,35.25
ADE.V,0.14,0.115
ADEP,3.37,2.30
ADES,15.20,20.53
ADG.V,0.175,0.13
ADGE,1.43,1.28
ADGF,4.99,5.75
ADI,35.43,34.86
ADI.V,0.97,0.97
ADK,4.30,3.91
ADK.V,0.32,0.28
ADL.V,0.36,0.30
ADLR,4.46,4.68
ADLS.PK,0.05,0.035
ADM,27.74,30.12
ADM.V,0.88,0.87
ADMD.OB,0.23,0.19
ADMP.OB,0.24,0.23
ADNW.PK,0.0022,0.0024
ADNY.OB,0.025,0.035
ADP,50.69,51.09
ADPI,10.09,18.84
ADPT.PK,26.00,0
ADRA,23.5628,23.63
ADRD,19.146,19.18
ADRE,39.91,39.89
ADRU,18.88,18.86
ADS,100.18,102.41
ADSK,32.97,34.07
ADSU.OB,0.02,0.01
ADT.V,0.05,0.06
ADTN,32.88,33.03
ADUS,3.88,3.80
ADV.V,0.00,0.00
ADVC.OB,0.225,0.25
