Company,Y,predict
A,3.5391947116700018,0.79762894
AA,-6.1465537913240205,-152.79054
AACC,0.20267956015484373,-9.27968
AAME,7.193600071803999,0.076966174
AAN,-0.2612923507348687,5.1663213
AAON,6.774113318090202,2.7602873
AAP,4.002405729680216,-3.0729077
AAPL,-6.09825165149065,0.5578413
AAR,-239.6188814071088,4.767267
AAT,5.058652076011089,4.6775165
AATI,24.19068296232275,4.1191015
AAU,-0.5159033275456772,-336.33786
AAWW,9.81154185170945,-11.754812
AB,-3.6218492853471513,-25.653593
ABAX,-1.2699318995816546,5.248135
ABB,2.2320500973667,-9.219008
ABC,-10.133411838352435,-3.5432994
ABCB,-1.6541386216633314,1.3875785
ABCD,-2.666638621663328,7.1003475
ABCO,13.769099842000651,4.5883737
ABD,28.822955757976107,-10.875483
ABG,4.6945429199188204,6.328308
ABH,-10.803905754065203,7.110332
ABIO,16.48644108848158,4.550825
ABM,9.979041313909606,-10.524036
ABMD,26.49392493345087,5.464615
ABR,-4.962834273837244,1.1391437
ABT,0.927254595568562,-4.5750904
ABV,-0.2308111056656497,6.9315925
ABVA,-38.95891315747236,-0.97578853
ABVT,4.592630712116375,3.9970584
ABX,4.378085281513673,-5.421955
ACAD,-21.74189372370414,5.370627
ACAS,-8.810379654661899,-7.2609243
ACAT,-4.869229164922892,6.76252
ACC,1.3316773417327072,6.8946004
ACCL,6.9025233699215205,-13.650062
ACE,-2.1959335303358505,-3.5393221
ACET,11.660459918482651,-26.459436
ACFC,-41.94819802760392,-0.98759884
ACFN,8.107968587209138,4.346776
ACG,-0.5091201714788279,3.4571257
ACGL,5.244484624299083,0.28284842
ACH,-7.6645961380032075,-13.256076
ACHN,6.668417769314116,0.44491604
ACI,-6.503009884628555,-18.755945
ACIW,-2.985787557833551,4.1565604
ACM,2.5875863200616016,-1.0349023
ACN,-1.542814609925031,-13.91129
ACNB,-7.330380840529588,-6.5194154
ACO,9.296932914708544,5.8430963
ACOM,2.66484071195118,5.914254
ACOR,7.753852739027812,-12.473416
ACPW,-32.38271005023477,3.9648545
ACRX,-1.4668123199723926,-339.16125
ACTG,-12.807900827292285,5.1001415
ACTS,-11.396691813152692,5.1925783
ACU,0.5686171194640078,0.921391
ACUR,-14.5163007838255,2.5669832
ACW,-4.154465953905549,-10.229021
ACXM,-2.1129810653932437,-11.366625
ACY,15.836888874718726,-8.534505
ADAT,6.886367707450582,4.193733
ADBE,-6.621097046170987,0.97668993
ADC,0.14688638858676611,-169.61354
ADEP,-48.875877752098134,-8.628493
ADES,23.607868197625518,4.7231407
ADGE,-14.072888621663324,-12.03325
ADGF,10.863252682684488,7.056601
ADI,-3.9892504977390666,-1.3331403
ADK,-12.328563174092992,6.2621946
ADLR,2.3467160791913617,1.8677533
ADM,5.547587805959517,-30.71658
ADP,-1.5712065410213187,-2.899985
ADPI,44.08959810869761,-10.1363945
ADS,-0.17661689526943694,3.669947
ADTN,-1.900006014942176,-26.760712
